Displacement(m),Load(kN),Stress(kPa),Strain
0.00019,67.1,34173.75649033992,0.0019
0.00019,67.2,34224.68608272493,0.0019
0.00019,67.5,34377.47485987995,0.0019
0.0002,67.6,34428.40445226496,0.002
0.0002,67.8,34530.26363703497,0.002
0.0002,67.9,34581.19322941999,0.002
0.0002,68.1,34683.052414189995,0.002
0.0002,68.3,34784.91159896001,0.002
0.0002,68.5,34886.770783730026,0.002
0.0002,68.6,34937.700376115026,0.002
0.0002,68.8,35039.55956088504,0.002
0.0002,69.0,35141.418745655064,0.002
0.0002,69.1,35192.348338040065,0.002
0.0002,69.2,35243.27793042508,0.002
0.0002,69.3,35294.20752281008,0.002
0.0002,69.5,35396.066707580096,0.002
0.0002,69.8,35548.85548473512,0.002
0.0002,69.9,35599.785077120134,0.002
0.0002,70.0,35650.714669505134,0.002
0.0002,70.2,35752.57385427515,0.002
0.0002,70.3,35803.50344666016,0.002
0.0002,70.4,35854.433039045165,0.002
0.0002,70.6,35956.29222381517,0.002
0.0002,70.7,36007.22181620019,0.002
0.0002,70.8,36058.15140858519,0.002
0.0002,71.0,36160.01059335521,0.002
0.0002,71.2,36261.86977812523,0.002
0.0002,71.4,36363.72896289524,0.002
0.0002,71.5,36414.65855528024,0.002
0.0002,71.7,36516.51774005026,0.002
0.00020999999999999998,71.7,36516.51774005026,0.0021
0.00020999999999999998,72.1,36720.23610959029,0.0021
0.00020999999999999998,72.2,36771.1657019753,0.0021
0.00020999999999999998,72.4,36873.02488674531,0.0021
0.00020999999999999998,72.7,37025.813663900335,0.0021
0.00020999999999999998,72.8,37076.743256285336,0.0021
0.00020999999999999998,73.1,37229.53203344036,0.0021
0.00020999999999999998,73.2,37280.46162582537,0.0021
0.00020999999999999998,73.4,37382.32081059539,0.0021
0.00020999999999999998,73.6,37484.1799953654,0.0021
0.00020999999999999998,73.8,37586.03918013541,0.0021
0.00020999999999999998,73.9,37636.96877252042,0.0021
0.00020999999999999998,74.0,37687.89836490543,0.0021
0.00020999999999999998,74.1,37738.827957290436,0.0021
0.00020999999999999998,74.2,37789.75754967544,0.0021
0.00020999999999999998,74.4,37891.61673444546,0.0021
0.00020999999999999998,74.5,37942.54632683047,0.0021
0.00020999999999999998,74.6,37993.47591921547,0.0021
0.00020999999999999998,74.7,38044.40551160048,0.0021
0.00020999999999999998,74.8,38095.33510398548,0.0021
0.00020999999999999998,74.9,38146.2646963705,0.0021
0.00020999999999999998,75.0,38197.194288755505,0.0021
0.00020999999999999998,75.2,38299.05347352552,0.0021
0.00020999999999999998,75.4,38400.912658295536,0.0021
0.00022,75.5,38451.84225068054,0.0022
0.00022,75.7,38553.70143545055,0.0022
0.00022,75.8,38604.63102783556,0.0022
0.00022,75.9,38655.56062022057,0.0022
0.00022,76.1,38757.41980499058,0.0022
0.00022,76.2,38808.34939737559,0.0022
0.00022,76.4,38910.208582145606,0.0022
0.00022,76.6,39012.067766915614,0.0022
0.00022,76.8,39113.92695168563,0.0022
0.00022,76.9,39164.856544070644,0.0022
0.00022,77.1,39266.71572884065,0.0022
0.00022,77.2,39317.64532122567,0.0022
0.00022,77.3,39368.57491361067,0.0022
0.00022,77.4,39419.50450599568,0.0022
0.00022,77.6,39521.36369076569,0.0022
0.00022,77.8,39623.22287553571,0.0022
0.00022,78.0,39725.08206030572,0.0022
